"","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
"3",1,0.65818014,38,1,0.085113375,3042,2,1,0,0,0
"4",1,0.233809776,30,0,0.036049682,3300,5,0,0,0,0
"5",1,0.9072394,49,1,0.024925695,63588,7,0,1,0,0
"7",1,0.754463648,39,0,0.209940017,3500,8,0,0,0,0
"10",1,0.01879812,51,0,0.53152876,6501,7,0,2,0,2
"14",1,0.166284079,53,0,0.18827406,8800,7,0,0,0,0
"15",1,0.221812771,43,0,0.527887839,3280,7,0,1,0,2
"20",1,0.075426584,32,0,0.085512189,7916,6,0,0,0,0
"25",1,0.392994586,58,2,0.436102527,5500,15,0,1,0,0
"26",1,0.704073982,28,1,0.155201143,4200,8,0,0,0,0
"27",1,0.9999999,24,0,0.472703063,750,1,0,0,0,0
"28",1,0.083418009,62,0,977,5400,6,0,1,0,0
"34",1,0.71998531,41,1,0.539554464,5700,14,0,1,0,0
"35",1,0.469056842,31,0,0.048211004,9250,4,0,0,0,1
"49",1,0.651603452,58,0,0.241135663,7783,11,0,1,0,0
"54",1,0.004264079,31,0,0.111444278,2000,6,1,0,0,2
"57",1,0.827708197,56,0,0.369590815,6793,15,1,1,0,0
"64",1,0.183316667,52,0,0.111131623,10833,14,0,2,0,1
"68",1,0.360509632,58,1,3282,5400,8,0,2,0,0
"71",1,0.080564168,60,0,0.487288997,4916,15,0,2,0,0
"72",1,0.039387786,51,0,15466,0,7,0,0,0,0
"73",1,0.784835658,52,0,2662,5400,10,0,2,1,0
"79",1,0.013024674,61,0,15,5400,4,0,0,0,0
"81",1,0.634485057,52,0,0.138238573,2690,2,0,0,0,0
"87",1,0.096737158,47,0,0.009748781,8000,2,0,0,0,2
"89",1,0.186987534,52,0,0.023993145,3500,4,0,0,0,0
"93",1,0.51712072,31,0,0.123752495,500,3,0,0,0,0
"94",1,0.317975796,34,0,0.297933792,4500,11,0,2,0,0
"97",1,0.003722015,58,0,0.63332301,3228,5,0,1,0,0
"106",1,0.147996253,55,0,0.323088235,6799,5,0,1,0,0
"110",1,0.9999999,38,0,0.43369976,5821,7,0,1,0,4
"113",1,0.54699881,50,0,0.748071979,3500,9,0,2,0,3
"115",1,0.175932019,57,1,0.655812625,3500,9,0,1,0,1
"117",1,0.21286031,36,0,0.563752087,9583,10,0,2,0,1
"121",1,0.147712223,40,0,0.034847816,6800,6,0,0,0,3
"123",1,0.323719804,63,0,0.610841267,5146,9,0,2,0,2
"125",1,0.637736406,54,2,3.382196162,1875,9,0,2,0,0
"129",1,0.771845631,33,0,0.852429514,5000,7,0,3,0,0
"132",1,0.13527952,58,0,0.342005076,9455,11,0,2,0,2
"133",0,0.946963874,35,0,1593,5400,6,0,1,0,1
"134",1,0.405183973,46,0,0.667835346,7700,22,0,2,0,1
"135",1,0.055549313,65,0,2177,5400,6,0,1,0,1
"144",0,0.025892469,38,0,74.5,1,13,0,0,0,2
"148",1,0.045423864,64,0,0.181311286,5200,4,0,1,0,0
"149",1,0.311954668,61,0,0.269281443,9866,12,0,2,0,2
"152",1,0.030173038,64,0,0.17386957,9000,8,0,1,0,0
"157",1,0.20808276,64,0,2826,5400,14,0,2,0,0
"164",1,0.593985244,63,0,0.332698534,5250,4,0,2,0,0
"165",1,0.333060631,52,3,0.700153374,5215,15,0,2,1,0
"169",1,0.080288098,37,0,0.322446259,6000,7,0,1,0,0
"175",1,0.787522133,52,0,0.353860086,4416,12,0,0,0,1
"178",1,0.295928252,47,0,0.283765445,14000,6,0,2,0,1
"181",1,0.053431552,41,0,0.20364404,9000,3,0,1,0,0
"182",1,0.732660667,44,2,0.14041952,9200,15,0,1,0,0
"189",1,0.634327056,49,1,0.123125125,15000,7,0,0,0,1
"191",1,0.090614887,42,0,86,5400,5,0,0,0,0
"193",1,0.027446383,54,0,1612,5400,6,0,1,0,0
"194",1,0.412398622,28,0,0.037259615,4991,5,0,0,0,0
"195",1,0.976531824,32,0,0.264078812,6800,6,0,0,0,2
"196",1,0.007982621,43,1,0.009691169,208333,11,0,1,0,1
"199",1,0.181713732,57,0,0.130453416,11666,17,0,1,0,1
"204",1,0.941072508,40,0,0.178184282,8855,9,0,1,0,0
