"","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
"1",0,0.766126609,45,2,0.802982129,9120,13,0,6,0,2
"2",1,0.957151019,40,0,0.121876201,2600,4,0,0,0,1
"6",1,0.305682465,57,0,5710,5400,8,0,3,0,0
"8",1,0.189169052,57,0,0.606290901,23684,9,0,4,0,2
"9",1,0.644225962,30,0,0.30947621,2500,5,0,0,0,0
"11",1,0.010351857,46,0,0.298354075,12454,13,0,2,0,2
"12",0,0.964672555,40,3,0.382964747,13700,9,3,1,1,2
"13",1,0.548458062,64,0,0.209891754,11362,7,0,1,0,2
"16",1,0.602794411,25,0,0.065868263,333,2,0,0,0,0
"17",1,0.200923382,43,0,0.430046338,12300,10,0,2,0,0
"18",0,0.025655677,38,0,0.475841386,3000,7,0,1,0,2
"19",1,0.9999999,39,0,0.241103559,2500,4,0,0,0,0
"21",1,0.04656027,58,0,0.241621845,2416,9,0,1,0,0
"22",0,0.392248482,50,0,1.595253368,4676,14,0,3,0,1
"23",1,0.052436094,58,0,0.097672186,8333,22,0,1,0,0
"24",1,0.452515828,24,0,0.011761247,3400,1,0,0,0,0
"29",1,0.186868556,57,0,0.313812313,7000,9,0,2,0,0
"30",1,0.693329681,42,2,0.257731959,2230,7,0,0,0,0
"31",1,0.881836362,50,3,0.567858035,4000,9,0,1,0,1
"32",1,0.363636364,26,0,0.00999001,1000,1,0,0,0,0
"33",1,0.304490668,52,0,0.808340474,3500,10,0,2,0,0
"36",1,0.718705378,28,0,0.170125614,3661,4,0,0,0,1
"37",1,0.061440132,62,0,0.011167837,3133,2,0,0,0,0
"38",1,0.140110634,31,0,0.689370485,1937,4,0,2,0,0
"39",1,0.834048027,38,0,0.393662026,13000,13,0,2,0,2
"40",0,0.728150491,31,0,0.824725092,3000,10,0,2,0,1
"41",1,0.9999999,62,0,0,5400,1,0,0,0,0
"42",1,0.028562367,51,0,0.306381499,5750,5,0,1,0,0
"43",1,0.992015968,29,0,0.008064516,2231,1,0,0,0,0
"44",1,0.070853769,55,0,0.073147745,13793,4,0,1,0,0
"45",1,0.454971915,46,1,0.016921775,13000,10,0,0,0,1
"46",1,0.401199782,64,0,0.351258937,3216,4,0,1,0,0
"47",1,0.541108804,43,0,2477,5400,3,0,1,0,2
"48",1,0.655569945,35,0,0.261609907,5813,10,0,0,0,2
"50",1,0.009788862,46,0,1.051397656,3326,6,0,2,0,2
"51",1,0.337520702,60,0,0.549877805,4500,10,0,2,0,0
"52",1,0.750873672,55,2,0.316416365,7723,17,0,1,0,1
"53",1,0.006799093,27,1,0.681045752,764,3,0,0,0,0
"55",1,0.26948375,64,0,0.16106176,9455,13,0,1,0,3
"56",1,0.265898391,36,0,0.262611807,8384,6,0,2,0,1
"58",1,0.059668871,31,0,3162,0,11,0,2,0,1
"59",0,0.13306279,49,1,0.182881653,10257,9,0,2,0,3
"60",1,0.234218112,36,0,0.116614347,8600,19,0,0,0,3
"61",1,0.122295933,29,0,0.694646949,4800,5,0,1,0,0
"62",1,0.460376317,37,0,0.074155949,4975,6,0,0,0,0
"63",1,0.270522569,41,0,2.797698945,1042,11,0,2,0,2
"65",1,0.017258977,53,0,2.604510673,12414,13,0,1,0,2
"66",1,0.054497069,56,0,0.492021814,4950,18,0,2,0,0
"67",1,0.029164236,31,0,0.395031809,3300,10,0,1,0,0
"69",1,0.003749688,64,0,0.004061231,3200,5,0,0,1,0
"70",0,0.734477501,45,0,0.591477634,4716,13,0,2,0,2
"74",1,0.888822236,34,0,0.368403802,3050,4,0,0,0,1
"75",1,0.791173628,44,0,0.51241535,3100,5,0,1,0,0
"76",1,0.24535301,37,0,0.288417167,6500,11,1,1,1,0
"77",1,0.010531379,57,0,0.280664917,5714,6,0,1,0,0
"78",1,0.363199686,32,0,0.480523957,2900,4,0,1,0,0
"80",1,0.019387779,34,0,0.32591852,4000,9,0,1,0,0
"82",1,0.888008615,44,0,0.299246282,4908,8,0,0,0,1
"83",1,0.003108849,57,0,0.258939285,8333,7,0,1,0,0
"84",1,0.114830941,46,0,0.026235802,6250,6,0,0,0,3
"85",1,0.635415157,32,0,0.519493502,3000,4,0,1,0,1
"86",1,0.9999999,62,0,0.664221287,8314,8,0,3,0,0
"88",1,0.31844615,58,0,1.382629108,3833,26,0,4,0,0
"90",1,0.180972181,39,1,0.384441575,3097,7,0,1,0,3
"91",1,0.06790706,46,0,0.149103029,10200,6,0,2,0,0
"92",1,0.033461782,44,0,1.243362832,4067,5,0,2,0,1
"95",1,0.444837661,58,0,0.366545247,14000,9,0,2,1,4
"96",1,0.277956679,39,0,4090,5400,9,0,2,0,0
"98",1,0.151912549,36,0,0.266394467,12000,22,0,2,0,0
"99",1,0.175727593,43,1,994,5400,4,0,1,0,0
"100",1,0.047311582,51,0,0.100920343,3150,5,0,0,0,0
"101",1,0.083880003,53,0,0.199647533,7943,8,0,1,0,0
"102",1,0.089478348,56,0,1.065901518,2700,11,0,1,0,2
"103",1,0.773519223,63,0,1.129227053,4139,12,0,1,0,1
"104",1,0.093962275,55,0,0.112051635,9450,6,0,2,0,0
"105",1,0.21955042,54,0,0.315983758,5417,20,0,2,0,1
"107",1,0.243872021,53,0,0.534027778,8639,22,0,2,0,3
"108",1,0.362483818,27,0,567,5400,4,0,0,0,0
"109",1,0.116676791,31,0,0.343593791,3800,7,0,1,0,0
"111",1,0.496911825,40,0,0.452363811,12500,11,0,2,0,2
"112",1,0.130902106,48,1,0.427882174,3937,17,0,1,0,0
"114",1,0.072277109,34,0,0.025911708,2083,2,0,0,0,0
"116",1,0.050789842,30,0,0.315171207,4000,4,0,1,0,1
"118",1,0.012682366,60,0,0.412979783,6825,20,0,2,0,0
"119",1,0.121557062,58,0,0.342971419,12000,23,0,2,0,4
"120",1,0.040795358,49,0,0.801999355,3100,11,0,1,0,0
"122",1,0.070771911,38,0,2088,5400,6,0,1,0,0
"124",1,0.36459777,42,0,0.593899089,6916,7,0,3,0,0
"126",1,0.081379827,63,0,1268,5400,8,0,1,0,0
"127",1,0.020966389,29,0,639.5,1,3,0,1,0,2
"128",1,0.170103002,36,0,0.138461538,7734,8,0,0,0,0
"130",1,0.9999999,29,0,974,5400,2,0,0,0,0
"131",1,0.16653274,53,0,0.543625949,7506,11,0,3,0,3
"136",1,0.676195456,55,0,0.436665827,3970,10,1,1,0,0
"137",1,0.184986787,55,4,3144,5400,11,0,1,0,0
"138",0,0.085338293,51,0,0.477503628,6200,11,0,1,0,0
"139",0,0.786485406,44,0,0.291709578,3883,7,2,0,2,1
"140",1,0.03833451,56,0,0.438912218,5000,7,0,2,0,0
"141",1,0.714980139,55,0,0.47090194,15000,12,0,2,0,3
"142",1,0.043032042,64,0,0.332016389,6833,14,0,2,0,0
"143",1,0.9999999,55,0,0.156259612,3250,5,0,0,0,4
"145",1,0.762158561,44,4,0.224465502,21000,5,0,1,0,3
"146",1,0.231692268,40,0,0.119660709,3300,7,0,0,0,0
"147",1,0.114869499,35,0,103,5400,6,0,0,0,0
"150",1,0.078738916,46,0,0.166215372,4800,6,0,1,0,4
"151",1,0.137609462,49,0,0.429533892,7272,11,0,2,0,0
"153",1,0.021978375,40,0,0.443755624,10000,12,0,5,0,2
"154",1,0.443696851,27,0,0.024340075,5833,4,0,0,0,0
"155",1,0.007506793,60,0,1253,5400,8,0,1,0,1
"156",1,0.292365949,50,0,0.420180551,8750,8,0,2,0,0
"158",1,0.013500824,53,0,0.183464028,19000,8,0,1,0,2
